,Feature Importance
cat_transformer__x7_Contact Email,0.03995428380220012
cat_transformer__x7_Marketing Event,0.015247529281343583
cat_transformer__x7_Others,0.008806296331539348
cat_transformer__x7_Website,0.016451315814838913
cat_transformer__x8_Level 1,0.03701169371625221
cat_transformer__x8_Level 2,0.0
cat_transformer__x8_Level 3,0.09502921079632878
"cat_transformer__x9_Abdul-Hamid,Saud Muhamad",0.0
"cat_transformer__x9_Ali,Mohamed",0.0
"cat_transformer__x9_Anthony,Katherine D",0.0
"cat_transformer__x9_Bannister,Joan",0.0
"cat_transformer__x9_Booker,David L",0.0
"cat_transformer__x9_Brown,Maxine A",0.0
"cat_transformer__x9_Carter Sr,Clifton E",0.0
"cat_transformer__x9_Cash,Tyrone J",0.0
"cat_transformer__x9_Cashin,Marc C",0.0
"cat_transformer__x9_Charles,Caleb",0.0
"cat_transformer__x9_Clavey,Therese A",0.0
"cat_transformer__x9_Davis,Brian R",0.0
"cat_transformer__x9_Davis,Sharrice A",0.0
"cat_transformer__x9_Dimattia,Frank D",0.0
"cat_transformer__x9_Dunaway,Antoine",0.0
"cat_transformer__x9_Dyson,William A",0.0
"cat_transformer__x9_Featherstone,Adrian R",0.0
"cat_transformer__x9_Gaskins Jr,Franklin D",0.0
"cat_transformer__x9_Georgakopoulos,Vasilios T",0.0
"cat_transformer__x9_Gilley,Janine",0.0
"cat_transformer__x9_Gould,Lisa D",0.0
"cat_transformer__x9_Green,Ann E",0.0
"cat_transformer__x9_Green,Candy",0.0
"cat_transformer__x9_Hameier,Kurt E",0.0
"cat_transformer__x9_Hanyok,John J",0.0
"cat_transformer__x9_Hebron,Artenia D",0.0
"cat_transformer__x9_Heidelberg,Andre D",0.0
"cat_transformer__x9_Himes,Maurice C",0.0
"cat_transformer__x9_Houston,Arnold E",0.0
"cat_transformer__x9_Irizarry,Yolanda",0.0
"cat_transformer__x9_Jones,Eyvette W",0.0
"cat_transformer__x9_Jones,Michael L",0.0
"cat_transformer__x9_Kiepea,Prince A",0.0
"cat_transformer__x9_Knox,Antonio D",0.0
"cat_transformer__x9_Leu,Darren L",0.0
"cat_transformer__x9_Logan,Kevin N",0.0
"cat_transformer__x9_Mabrey,Kevin C",0.0
"cat_transformer__x9_Maine,John P",0.0
"cat_transformer__x9_Massiah,Gerard F",0.0
"cat_transformer__x9_McKenstry,Loretta A",0.0
"cat_transformer__x9_Meli,Teresa V",0.0
"cat_transformer__x9_Moran,Natalie A",0.0
"cat_transformer__x9_Morsy,Omar A",0.0
"cat_transformer__x9_Murray,Younetta",0.0
"cat_transformer__x9_Pappas,Mark S",0.0
"cat_transformer__x9_Robinson,John C",0.0
"cat_transformer__x9_Rocks,Michael J",0.0
"cat_transformer__x9_Ross,Eric L",0.0
"cat_transformer__x9_Ryker,David",0.0
"cat_transformer__x9_Salyers,Daniel L",0.0
"cat_transformer__x9_Shelton,Sidney P",0.0
"cat_transformer__x9_Smith,Keenan H",0.0
"cat_transformer__x9_Sutton,Michelle R",0.0
"cat_transformer__x9_Thomas,Lori E",0.0
"cat_transformer__x9_Tondeur,Keith D",0.0
"cat_transformer__x9_Turner,Marlon D",0.0
"cat_transformer__x9_Ullrich,Rose Anne",0.0
"cat_transformer__x9_Van Arter,Derrick",0.0
"cat_transformer__x9_Vickers Jr.,Henry J",0.0
"cat_transformer__x9_Young,Valerie K",0.0
num_transformer__Deal_value,0.03614494812189703
Internal_rating,0.1729296219407773
Year_of_creation,0.0
Month_of_creation,0.0
